graphs,mindp3
GKD-c_10_n500_m50.txt,613.3703
GKD-c_11_n500_m50.txt,616.67832
GKD-c_12_n500_m50.txt,607.23181
GKD-c_13_n500_m50.txt,596.18927
GKD-c_14_n500_m50.txt,604.28036
GKD-c_15_n500_m50.txt,607.4788100000001
GKD-c_16_n500_m50.txt,616.9923200000001
GKD-c_17_n500_m50.txt,613.10663
GKD-c_18_n500_m50.txt,617.9450099999999
GKD-c_19_n500_m50.txt,614.58902
GKD-c_1_n500_m50.txt,612.8825899999999
GKD-c_20_n500_m50.txt,598.41157
GKD-c_2_n500_m50.txt,616.02583
GKD-c_3_n500_m50.txt,602.65967
GKD-c_4_n500_m50.txt,611.0417
GKD-c_5_n500_m50.txt,610.28458
GKD-c_6_n500_m50.txt,605.1900700000001
GKD-c_7_n500_m50.txt,613.41311
GKD-c_8_n500_m50.txt,614.7545700000001
GKD-c_9_n500_m50.txt,594.94972
SOM-b_10_n300_m60.txt,1194.0
SOM-b_11_n300_m90.txt,1218.0
SOM-b_12_n300_m120.txt,1238.0
SOM-b_13_n400_m40.txt,180.0
SOM-b_14_n400_m80.txt,1636.0
SOM-b_15_n400_m120.txt,1651.0
SOM-b_16_n400_m160.txt,1643.0
SOM-b_17_n500_m50.txt,2073.0
SOM-b_18_n500_m100.txt,2091.0
SOM-b_19_n500_m150.txt,2052.0
SOM-b_1_n100_m10.txt,55.0
SOM-b_20_n500_m200.txt,2058.0
SOM-b_2_n100_m20.txt,97.0
SOM-b_3_n100_m30.txt,377.0
SOM-b_4_n100_m40.txt,385.0
SOM-b_5_n200_m20.txt,98.0
SOM-b_6_n200_m40.txt,779.0
SOM-b_7_n200_m60.txt,791.0
SOM-b_8_n200_m80.txt,766.0
SOM-b_9_n300_m30.txt,143.0
